count,example_snippets,name,top_terms,topic_id
195,"Wir waren ebenfalls zur Geburt unseres Sohnes dort (2025). Unsere Erfahrung war nicht so toll wie vorgestellt. Alles, was wir im Vorgespräch als Wünsche besprochen hatten, wusste man nicht mehr und musste öfter von meinem Mann „eingefordert“ werden.  || 2022 hatten wir noch sehr gute Erfahrungen mit dem Krankenhaus gemacht.Mittlerweile leider nur noch Fließbandarbeit.Nach der Geburt hatten wir uns ein Familienzimmer gewünscht.Ich kam dann trotz Kaiserschnitt mit einer anderen Frau auf ein Zimmer.Das || Bitte nicht zur Geburt anmelden ! Leider einige ( nicht alle ) sehr unfähig. Lassen es aufs äußerste drauf ankommen. Wollen beweisen was sie können anstatt einen Arzt hinzuziehen. Gebärmutterriss gerade so überlebt. Natürlich liegt die Schuld nicht a",9_patientin_frauenarzt_frauenklinik_betreut,"patientin, frauenarzt, frauenklinik, betreut, die betreuung, die kinderklinik, kinderklinik, betreuung, im kreißsaal, der wochenbettstation",9
179,"Am liebsten würde ich keinen Stern vergeben. Mein Mann wurde mit starken Schmerzen, nachdem er 4 Std. in der Notaufnahme saß, wieder nach Hause geschickt. Ohne Behandlung. Von Menschlichkeit keine Spur. Mir fehlen die Worte. || Wenn ich 0 Sterne geben könnte, dann würde ich es machen. Dieses Krankenhaus ist, was die Mitarbeitenden angeht eine komplette Vollkatastrophe. Meine Freundin bekommt keine Infos, wird nachts mit ihrer Gehirnerschütterung einfach schlafen gelassen, s || Ganz furchtbar...der Notarzt sagt er kann nichts tun und als man trotzdem ins Krankenhaus geht wird ein Herzinfarkt festgestellt und es wird sofort operiert. Also so einen inkompetent Arzt zu beschäftigen ist das aller letzte. Leider muß man ja einen",10_leider muss_therapie aufarbeiten_unfreundlich ihr_leider kann,"leider muss, therapie aufarbeiten, unfreundlich ihr, leider kann, tagelang in, empfehlen man, noch zuviel, der wahnsinn, zuviel, wäre keinen",10
172,"Sehr unfreundlich Mitarbeiterinnen. 4,5 Stunden gewartet am Ende würde das Kind nicht untersucht. Kamm der rede das Kind sieht mental Gut aus, obwohl Sie schmerzen hatte. Ich hoffe das der Besitzer des Krankenhauses sich irgendwann mal das ganze Bewe || schade dass man mit der bewertung nicht in den Minusbereich gehen kann… Es ist so erbärmlich wie man einem kleinen kind mit epilepsie verbieten kann dass die mutter mit ihr im krankenhaus bleibt weil sie stationär aufgenommen werden muss… und dann me || Bin mit fieberndem Kind in die Notaufnahme, mussten dann leider da bleiben. Auf der Kinderstation zum Grossteil alle übergriffig, Kommentare wie ""stell dich nicht so an"", ""Ist doch nur ne Spritze"", ""ist doch nicht so schlimm"", Schmerzen des Kindes wu",11_der kinderklinik_warten seit_der kinderarzt_kinderklinik,"der kinderklinik, warten seit, der kinderarzt, kinderklinik, wartezeit mit, eine ärztin, kranken, kinderarzt, warten muss, warten wir",11
172,"Bei Problemen in der Anmeldung werden die Mitarbeiterinnen, grade Ü40, direkt patzig. Leider hatte auch niemand Interesse an Lösungsvorschlägen. || OP lief gut aber das personal ist sehr unfreundlich || Sehr unfreundliches und arrogantes Personal in fast ALLEN Abteilungen. Man wird behandelt wie ein Mensch dritter Klasse. Ich habe mich total schlecht gefühlt. Es wird überhaupt nicht auf Ängste und Fragen eingegangen. Für mich klar: NIE WIEDER!!!!!!!",12_unglaublich unfähiges_absolut unfähige_sehr unfreundliche_absolut unfreundliches,"unglaublich unfähiges, absolut unfähige, sehr unfreundliche, absolut unfreundliches, sehr unfreundliches, unfähiges und, ein unfreundliches, unfreundlich sehr, unglaublich unfreundliches, inkompetentes",12
172,Unhöflich am Telefon wie sonst was! || Die telefonische Kontaktaufnahmen ist so gut wie unmöglich. Ich habe 3Tage gebraucht um jemand ans Telefon zu bekommen. Lediglich bei Einschaltung des AB zum Ende der Erreichbarkeit war man außerordentlich pünktlich. Nachdem ich endlich jemand erreic || Unfreundlich ihm telefon und im echten leben auch ich würde nicht mal ein stern geben,13_institutsambulanz_die institutsambulanz_unfreundlich am_warteschleife habe,"institutsambulanz, die institutsambulanz, unfreundlich am, warteschleife habe, niemand erreichbar, geht keiner, geht niemand, keiner ans, klinik telefonisch, weggedrückt",13
167,Alles aber nich empfehlenswert || Sehr unfreundlich Mitarbeiterinnen 👎🏻 … || Haben alles verkackt,14_grad durchmacht_aber sonst_fehlen mir_menschen seid,"grad durchmacht, aber sonst, fehlen mir, menschen seid, kommen eschein, könnte wurd, mich gerade, kopf hier, nein mehr, kommt dran",14
153,"Der Transportdienst zur Verlegung von Patienten zu den einzelnen Stationen liegt im Argen. Musste trotz mehrfacher Nachfragen über 4,5 Stunden auf die Verlegung warten. Spricht nicht für ein gutes Krankenhaus. || Ärzte sagen sie kommen und kommen nicht....mittag essen groten schlecht....1 und letzte mal in diesen Krankenhaus || Ich verstehe die arbeitsmoral in diesem Krankenhaus nicht, man kommt um 6 Uhr morgens in die notaufnahme mit starken Schmerzen die durch einen Verkehrsunfall kamen und man wird erstmal ins Wartezimmer geschickt und wartet über 2 Stunden ohne das irge",15_notaufnahme obwohl_notfälle_auskunft_nach stunden,"notaufnahme obwohl, notfälle, auskunft, nach stunden, wartet man, schlecht man, um dann, wartezeit das, so schlimme, vorbei kommt",15
140,1 stern ist schon viel zu viel. Bitte liebe Leute wenn euch eure Gesundheit am Herzen liegt sucht euch ganz ganz dringend ein anderes Krankenhaus🙏🏼 … || Letzte Krankenhaus unfreundlich und unprofessionell || Das ist kein Krankenhaus. Sie haben kein Interesse ...,16_kenne unhöfliches_krank seit_kenne rein_menschen was,"kenne unhöfliches, krank seit, kenne rein, menschen was, nennen kann, man ein, krankhaus braucht, geht bitte, krankenhaus sprachlos, krankenhaus sehr",16
137,"Kantinen Essen ist schlecht und teuer! Pommes sehr dunkel, altes Öl, belegte Brötchen sehr schwache Qualität. Kaffee aus den guten Automaten!... Schmeckt aber nucht?! Lieber ausserhalb essen, sehr schade, sonst macht die Klinik einen richtig guten Ei || das war das Frühstück vom 09.02.2020 meines an Demenz erkrankten Vaters, der zusätzlich auch noch fixiert wurde. Die dringend notwendigen Tabletten wurden einfach so hingestellt, ohne darauf zu achten, ob sie mein Vater überhaupt eingenommen hat. Ich || Katastrophe kein Biss Menschlichkeit mehr zu finden, essen alles aus/ von Plastik- so viel zur Müllvermeidung Selbst frisch operiert hat man keine Chance auf einen schnabelbecher man muss schauen wie man mit den wabbeligen Plastikbechern alleine zure",17_klinikvon neben_klinikvon_wirklich kranke_wundheilungsstörung,"klinikvon neben, klinikvon, wirklich kranke, wundheilungsstörung, inkompeten, inkompeten eindruck, gesund werden, nichts mir, als besucher, zu achten",17
133,"Ich war ja schon in fast 20 Krankenhäuser aber was hier abläuft ist der Oberhammer . Abreißen und Neubauen hilft wahrscheinlich auch nicht wenn die Hygiene Standards nicht eingehalten werden und sogar Leute vom Personal mit Fahrrad im … || Mein Krankenhausaufenthalt von Donnerstagabend bis Samstagnachmittag war äußerst beunruhigend und völlig inakzeptabel. Als ich mein Zimmer betrat, bot sich mir ein schockierender Anblick. Einer der Tische neben dem Bett war blutverschmiert. Das Zimme || Selbst ein stern ist zuviel,für dieses unkompitente krankenhaus, was leute mit schlag amfall stunden liegen läßt,oder tote tage lang im.zimmer liegen lässt, lassen das Reinigungs personal in die zimmer rein laufen wo tote drin liegen. Wenn dieses kra",18_vinzenzkrankenhaus_hygienisch_hygiene ist_nicht hygienisch,"vinzenzkrankenhaus, hygienisch, hygiene ist, nicht hygienisch, voller blut, hygienischen zustände, zur toilette, nicht gereinigt, die hygiene, die hygienischen",18
