group_key,group_label,reviews,review_pct,avg_problem_labels,avg_strength_labels,problem_only_reviews,problem_only_pct,strength_only_reviews,strength_only_pct,mixed_reviews,mixed_pct,no_label_reviews,no_label_pct,avg_likes
1,1★,10580,34.28,3.18,0.27,8473,80.09,45,0.43,1902,17.98,160,1.51,5.08
2,2★,1363,4.42,3.07,1.01,591,43.36,18,1.32,731,53.63,23,1.69,3.21
3,3★,1164,3.77,2.29,1.56,267,22.94,71,6.1,775,66.58,51,4.38,1.87
4,4★,2327,7.54,0.99,2.51,98,4.21,887,38.12,1226,52.69,116,4.98,1.36
5,5★,15373,49.81,0.21,3.42,86,0.56,12300,80.01,2333,15.18,654,4.25,1.35
,Unknown,56,0.18,1.18,2.2,13,23.21,26,46.43,16,28.57,1,1.79,2.91
