group_key,group_label,reviews,review_pct,avg_problem_labels,avg_strength_labels,problem_only_reviews,problem_only_pct,strength_only_reviews,strength_only_pct,mixed_reviews,mixed_pct,no_label_reviews,no_label_pct,avg_likes,avg_star_rating
0,0,12808,41.5,1.03,2.38,2655,20.73,7004,54.68,2562,20.0,587,4.58,0.0,3.86
1,1,5118,16.58,1.04,2.39,1098,21.45,2691,52.58,1112,21.73,217,4.24,1.0,3.82
2-4,2-4,6759,21.9,1.5,2.17,2126,31.45,2793,41.32,1689,24.99,151,2.23,2.75,3.3
5-9,5-9,3950,12.8,2.47,1.36,2185,55.32,717,18.15,1007,25.49,41,1.04,6.58,2.15
10-24,10-24,2035,6.59,3.38,0.86,1341,65.9,135,6.63,550,27.03,9,0.44,13.72,1.52
25+,25+,193,0.63,4.51,1.06,123,63.73,7,3.63,63,32.64,0,0.0,34.5,1.39
