count,example_snippets,name,top_terms,topic_id
295,"Super nette, profisionelle und verantwortungsbewusste Personal! || Das Personal ist sehr bemüht und freundlich und hilfsbereit, aber organisatorisch ist noch einiges im Argen. || Man fühlt sich gut aufgehoben. Personal ist sehr nett und freundlich.",9_personal_nettes_freundliches_sehr,"personal, nettes, freundliches, sehr, mitarbeiter, kompetentes, freundlich, nette, hilfsbereit, gute, super, freundliche",9
286,"Herzlichen Dank an das gesamte Team, Ärzte und Pflegepersonal der Stadion 12. Alle sehr sehr nett und freundlich, kompetent und hilfsbereit. Hier werden auch mal Konservative Methoden vorgeschlagen und durchgeführt, und … || Das ganze Personal super Nett 👌 die Schwestern alle total freundlich und auch das OP Team einfach Klasse 👍👍 da kann sich so manches KH eine Scheibe von abschneiden … || Station 2, Zimmer 231. Vielen Dank! Lieben Dank.",10_team_station_super_tolles,"team, station, super, tolles, dank, an, danke, sehr, top, gefühlt, gut, alle",10
285,"Die Ärzte und das Pflegepersonal sind super nett || Super sympathisch,sehr kompetente Ärzte helle freundliche Ambiente || Sehr gute Ärzte und Personal sehr freundlich.",11_ärzte_sehr_gute_nettes,"ärzte, sehr, gute, nettes, personal, pflegepersonal, kompetente, freundliches, super, nette, und, freundlich",11
259,"War zur teilstationären Diagnostik mit meinem Sohn auf der Station 63 und muss sagen: ein MEGA Team. Super liebe Mitarbeiter, sehr herzlich gestaltet- mein Sohn hat sich sehr wohlgefühlt und wollte gar nicht mehr weg. Tausend Dank für Alles 💓 … || Wir waren mit unserem Sohn (4) da, das Personal war hilfsbereit und haben uns geholfen. Danke dafür! || Unser Sohn ist bei Ihnen zur Welt gekommen und ich muss sagen, dass wir wirklich sehr nett empfangen wurden und auch sonst (fast) alle Hebammen, Krankenschwestern und Pfleger sehr nett waren. Eine ältere Mitarbeiterin bei Ihnen jedoch kann ich nicht ",12_sohn_wir_waren_unserem,"sohn, wir, waren, unserem, uns, sehr, mit, und, meinem, mein, haben, alle",12
249,"Sehr gute Erfahrung in der Notaufnahme Ich war gestern in der Notaufnahme des Diakoniekrankenhauses und habe mich dort … || Einfach ein super Krankenhaus. Ich bin mit einem massiven Bandscheiben Vorfall über die Notaufnahme gekommen und wurde gleich stationär aufgenommen. Das ganze Team von der Notaufnahme, Anästhesisten, Ärzten, Schwestern und Serviceteam ist super nett  || Ich war heute wegen einen Sturz in der Notaufnahme. Ich kann nur sagen, alle dort sehr freundlich und kompetent. Vielen Dank für die tolle Behandlung.",13_notaufnahme_freundlich_sehr_dank,"notaufnahme, freundlich, sehr, dank, team, in, der, schnelle, personal, schnell, danke, vielen",13
243,"Schlecht mit Parkplätzen wenn man morgens zu einer Behandlung muss || Es ist für mich immer noch nicht nachvollziehbar, warum das Klinikum hier gebaut wurde. Weit entfernt von unseren größeren Städten, so müssen viele Menschen weite Wege in Kauf nehmen. Das Klinikum ist voll auf Individualverkehr ausgelegt, das zeigt s || Das ganze Areal macht einen sehr sauberen und Ordentlichen Eindruck. Der Empfangsbereich ist sehr gut strukturiert und hell. Sehr freundliches und hilfsbereites Personal. Parkplätze sind vorhanden aber Kostenpflichtig. Wartezeiten muss man in Kauf ne",14_parkplätze_parkplatz_parken_parkhaus,"parkplätze, parkplatz, parken, parkhaus, ist, parksituation, man, zu, parkplatzsituation, nicht, für, es",14
241,"Unzumutbar – Das Schlimmste, was wir je erlebt haben (Eigene Erfahrung, persönliche Meinung) Mit einer ärztlichen Einweisung (Verdacht auf Bandscheibenvorfall) kamen wir in die Notaufnahme. Meine Frau hatte massive Schmerzen, konnte kaum noch laufen, || Mein Mann kam am 12.06. um 5 Uhr morgens nach einem Arbeitsunfall ins Krankenhaus. Obwohl seine rechte Hand stark blutete sollte er den Fragebogen selbst ausfüllen oder eben die linke Hand benutzen. Die Hand wurde nichtmal gereinigt und schon vor der || Meine Frau wurde nach einem Unfall in dieses Krankenhaus gebracht,ich hoffe nicht wieder.Bauzäune um den Eingang.den man suchen muss,Rollstuhlfahrer,die sich eine steile Auffahrt hochkämpfen,gar nicht an die Herrschaften mit Rolator gedacht?Zumachen ",15_frau_mann_sie_wir,"frau, mann, sie, wir, meine, er, wurde, nach, schmerzen, dann, in, nicht",15
232,"DANKE ! 2.12.2024 über den Hausarzt mit Wartezeit in die Notaufnahme. ( Triage, weil sehr voll ) bis … || Ich war letzte Woche im mvz Radiologie und hatte angeblich einen Notfall MRT Termin über 116117 bekommen. Stehe dort am Tresen und natürlich hat das nicht geklappt….. Aber sowohl die MFA als auch die Terminplanung machten schnell mit und ich konnte o || Ein Stern ist sogar zu viel! Notaufnahme 08.09.2025 Viertel vor 10h suchte ich die Notaufnahme wegen Verdacht auf Bruch, Prellung bzw. Quetschung am Fuß auf. Bei meiner Ankunft saßen nur vier Patienten im Wartebereich. Dennoch betrug meine Wartezeit ",16_termin_stunden_warten_uhr,"termin, stunden, warten, uhr, wartezeit, dann, um, nach, op, nicht, ich, der",16
227,"Ein herzliches Dankeschön an der Notaufnahme, Station 8 und 9 und ans OpTeam . Alle waren sehr kompetent und freundlich. Unsere Tochter fühlte sich gut aufgehoben. Ich kann das Krankenhaus nur empfehlen. Ich bin extra dankbar der Person, die mich in  || Meine 7jährige Tochter hatte ihre erste kleine OP und wurde wie eine Prinzessin behandelt. Dank des umsichtigen und freundlichen Personals wurde ihr die Angst vor dem Eingriff genommen und sie blickt nun auf diese Erfahrung stolz zurück. Ein besonder || Wir hatten ein Autounfall und wir sind zur Notaufnahme des Krankenhauses gefahren. Schwester Lana hat sich sehr gut um uns gekümmert und Gott sei Dank ist uns nichts schlimmeres passiert als gedacht.Vielen Dank noch mal für die mentale Unterstützung ",17_tochter_wir_uns_waren,"tochter, wir, uns, waren, unserer, unsere, und, haben, sehr, meine, super, mit",17
220,"Der Transportdienst zur Verlegung von Patienten zu den einzelnen Stationen liegt im Argen. Musste trotz mehrfacher Nachfragen über 4,5 Stunden auf die Verlegung warten. Spricht nicht für ein gutes Krankenhaus. || Ärzte sagen sie kommen und kommen nicht....mittag essen groten schlecht....1 und letzte mal in diesen Krankenhaus || Auch nach Jahren wartet man sich selbst mit eventuellen Knochenbrüche den Arsch in der Notaufnahme ab. Es interessiert hier mehr wieviel gelacht wird, anstatt wieviele Patienten warten. Die Aufnahmeauswahl ist ne Katastrophe genau wie unser ganzes Ge",18_man_stunden_warten_ist,"man, stunden, warten, ist, notaufnahme, wird, patienten, nicht, krankenhaus, wenn, zu, die",18
